epoch,alpha,task_loss,cons_loss,coh_loss,total_loss,mean_s,mean_mu,drift_real
0,1.0,0.1290980690550801,0.9119522498883924,0.0011633865132570764,0.5856558872559048,0.9397898020053509,0.7592261546475229,0.0
1,1.0,0.1250210253052006,0.8974268640529363,0.0011907449911278028,0.5743298298272326,0.9326511929981782,0.7560296156833137,0.0006303735338542625
2,1.0,0.12488662346145797,0.8892331530589798,0.001210661424581832,0.5701085307032387,0.9282424864589042,0.7538738870985756,0.0012604687125017144
3,1.0,0.13122082915664074,0.9233992248264646,0.0011409724121861139,0.5934909277759661,0.9455983895994319,0.7624319199077895,0.0018900073036493678
4,1.0,0.1317497409788731,0.9239456502095816,0.0011400282744396175,0.5942925802208837,0.9458791837539184,0.762694974627254,0.002518711320777607
5,1.0,0.13046824411214375,0.9190211288393199,0.0011497305914408614,0.5905536738275241,0.9434414260933106,0.7616569193810954,0.003146303145891208
6,1.0,0.13229761813791865,0.9260568578663083,0.001136497047744511,0.5958942955949451,0.9469291670100658,0.7634129349757665,0.0037725056521076324
7,1.0042165516729429,0.13316448523605864,0.9365927951753898,0.0011139207618298885,0.6020178432046686,0.9523852959310465,0.766226914615489,0.004397042326028455
8,1.0042165516729429,0.12895216424071604,0.9089287188756106,0.0011707575870430348,0.5840019024720429,0.9383543966494632,0.7595190799274052,0.005019637389839898
9,1.0042165516729429,0.1289861249745218,0.9214927623089153,0.001141746742396807,0.5903033795001779,0.9450386515957002,0.7630322269630679,0.0056400159230885465
10,1.0042165516729429,0.1298878390762494,0.9102294350177706,0.0011697863304211075,0.5855874497503453,0.9389048377111846,0.7599028325983354,0.006257903984078488
11,1.0042165516729429,0.13253551069795663,0.9258927193632979,0.001138382030957453,0.5960510613950843,0.9468107542504108,0.7637927535470058,0.006873028730836249
12,1.0042165516729429,0.12568654965875387,0.902140423432205,0.001181551160294697,0.5773475369550037,0.9352629092902892,0.7585587005967893,0.007485118541590127
13,1.0042165516729429,0.13214186125587216,0.9196214685797636,0.0011511947552278194,0.5925281929233679,0.9436527451611568,0.7624324098721019,0.008093903134710728
14,1.0076396200118558,0.12344121946700805,0.9019597332986067,0.0011778294012928802,0.5750100008169579,0.9355547358316224,0.7590641530596963,0.008699113688059713
15,1.0076396200118558,0.12629104785156614,0.8991314994960821,0.0011896358481198748,0.5764516155236672,0.9336075673324987,0.7578821038616999,0.009300482957694096
16,1.0076396200118558,0.12769018827580356,0.9064707135704113,0.0011749444057023034,0.5815130172638604,0.9373136714852729,0.7597201035468315,0.009897745395873644
17,1.0076396200118558,0.13158553248084992,0.9140913258266832,0.0011640941673707764,0.5892132424778769,0.9407701908917954,0.7612064954257756,0.010490637268319277
18,1.0076396200118558,0.13016618289007362,0.9163191078444815,0.0011554664551356854,0.5889034700398822,0.942257624399504,0.7621846294034743,0.011078896770670718
19,1.0076396200118558,0.12980595039238055,0.9209523022414116,0.001144776517470723,0.5908544897718216,0.9447253874061274,0.7634798680751246,0.011662264144091902
20,1.0076396200118558,0.1268266598321184,0.8985019652151327,0.0011926766359512664,0.5766739807576604,0.9331900031424878,0.7578290614880357,0.012240481789973189
21,1.0076396200118558,0.12072846669402507,0.8812841517927787,0.0012236055902846885,0.5619823453855568,0.9248487301910036,0.7540395058951272,0.012813294383679652
22,1.0076396200118558,0.13319364755783614,0.9306563353455964,0.0011276124912158046,0.5990856214762423,0.9494131673248744,0.7657004659888754,0.013380448987295243
23,1.0076396200118558,0.1287153359271768,0.9045334912680606,0.001181445221489453,0.5815728041719518,0.9361571842554343,0.7592772968782404,0.013941695161313057
24,1.0076396200118558,0.13269676094676322,0.934219171468618,0.0011184788735100534,0.6003655861178272,0.951383313613715,0.7667723431583509,0.01449678507522237
25,1.0076396200118558,0.11834677680972357,0.8513183779532404,0.0012968843440493022,0.5446544079583684,0.9086607047368668,0.7456328334996111,0.015045473616943625
26,1.0101415296687624,0.12954611452117695,0.9031378039200396,0.001187512162636612,0.5817087725625151,0.9351774262321113,0.758645753051703,0.015587518501063007
27,1.0101415296687624,0.13313426725460448,0.9311559970465392,0.0011267051371203825,0.5992756183464343,0.9496618902623281,0.765827246173262,0.016122680375818873
28,1.0101415296687624,0.128913645251428,0.8991665967690342,0.001195068599078738,0.5790944779354845,0.933204730761788,0.7576943698953315,0.016650722928792758
29,1.0101415296687624,0.12198092700225631,0.882580144651969,0.0012229031513373214,0.5638824509039094,0.9253384184800902,0.7541712050639294,0.01717141299125827
30,1.0118894601377133,0.13008709746429306,0.9149639421304857,0.001158776462691052,0.5881484567608815,0.9415397892362073,0.7618796689217489,0.017684520641141847
31,1.0118894601377133,0.12931488007681197,0.910746153304153,0.0011683964511769198,0.5852721549544769,0.9393189374677595,0.7607145179407977,0.01818981930454987
32,1.0118894601377133,0.13321830586292155,0.9288837922673583,0.001132350808286349,0.5982263774007439,0.948398625638864,0.765017280843699,0.018687085855817322
33,1.0118894601377133,0.12704746598751557,0.9071262958398716,0.0011716659811023065,0.5811964468980025,0.9378185067197045,0.7601111098488548,0.01917610071603378
34,1.0118894601377133,0.1259396987692883,0.901316699892014,0.0011837126884855149,0.577189905059538,0.9348524629993877,0.7586098469042536,0.019656647950003305
