epoch,alpha,task_loss,cons_loss,coh_loss,total_loss,mean_s,mean_mu,drift_real
0,1.0,0.12552823990110365,0.9096087638858142,0.0011521700640196523,0.5809087068760206,0.9347098214285714,0.7302901981522938,0.0
1,1.0,0.12240919809492809,0.881690412681965,0.0012057562036997007,0.5638572825377605,0.9202008928571429,0.7230870898183134,0.005400727128330281
2,1.0,0.1282991633339534,0.9052999122476046,0.0011655573012383255,0.5815318981083749,0.9319196428571429,0.7286292188842046,0.010799703807960628
3,1.0,0.12808092631990947,0.9016848767767212,0.0011732070785610167,0.5795099682475506,0.9299665178571429,0.7276206589348536,0.016195180157535204
4,1.0,0.1227000233483693,0.8792268350181447,0.0012115463189043148,0.5629192140168938,0.9188058035714286,0.7223373251221972,0.02158540743020248
5,1.0,0.12199484931098091,0.8790291686353126,0.0012109968029354878,0.5621149320301049,0.9188058035714286,0.7223867101170951,0.026968638580407732
6,1.0,0.123663579547216,0.8806030173257945,0.001210386231712508,0.5645702813259695,0.9193638392857143,0.7225333865176002,0.032343128830134155
7,1.0000765198629753,0.1231136818537636,0.8774569283460779,0.0012168476079040325,0.5624505698307546,0.9176897321428571,0.7216771347309697,0.03770713623440899
8,1.0000765198629753,0.12087049453977554,0.8597314004139462,0.0012536197754307694,0.5513630046344641,0.908203125,0.7168077516582848,0.04305892224589144
9,1.0000765198629753,0.12182362389942956,0.8673600151025594,0.0012367373311268207,0.5561220001162727,0.9123883928571429,0.7190170231385179,0.04839675227835942
10,1.0000765198629753,0.11105179075210814,0.8207895747606578,0.001324324365696484,0.5221087403152853,0.8883928571428571,0.7071942824172638,0.05371889626891235
11,1.0000765198629753,0.12597946409195188,0.8691341391971251,0.0012420500719773052,0.561167558726503,0.9123883928571429,0.7185381599204617,0.05902362923870799
12,1.0000765198629753,0.11082592434353299,0.7792370565850723,0.0014299111773343068,0.5011594082247363,0.8641183035714286,0.693677306322962,0.0643092318520514
