epoch,alpha,task_loss,cons_loss,coh_loss,total_loss,mean_s,mean_mu
0,1.0,0.14697022222222222,0.987867766550485,0.0012983839983555772,0.6415532974966425,0.973,0.7476803204742954
1,1.0,0.1417382222222222,0.939361266023105,0.0014020308186127016,0.612119870643081,0.949,0.7363669740560851
2,1.0033329098752168,0.1475688888888889,0.9819244757080515,0.0013117266084831573,0.6391869900471562,0.97,0.7462388245443402
3,1.0006761928064745,0.1393835555555555,0.9462587368227731,0.0013804297297094366,0.6132031388317968,0.953,0.7385572030089782
4,1.0011750649000466,0.14531288888888888,0.9308041768757573,0.0014292345655173531,0.6114295946095263,0.944,0.7336135576501945
5,1.001115008431479,0.14113688888888887,0.9448652222559442,0.0013870266854984087,0.6142630133596101,0.952,0.7379254919179122
6,1.001115008431479,0.14241288888888887,0.9628041363257978,0.001347277287289449,0.6244885956954325,0.961,0.7422300954287923
7,1.0011817892073986,0.13987288888888885,0.9523213206146693,0.0013675015394307,0.6167172999659388,0.956,0.7399695031232801
8,1.0042150788900792,0.1479262222222222,0.9468159139379924,0.0013939813098230145,0.6220311698461299,0.952,0.73743476759314
9,1.0042150788900792,0.1332982222222222,0.90620280171424,0.0014681214743593005,0.5871336838165218,0.9329999999999999,0.729036235773754
10,1.003239135403826,0.13182755555555553,0.8888866942236561,0.001510164395959439,0.5770259848653633,0.9239999999999999,0.7245693873566342
11,1.003239135403826,0.13739288888888887,0.9321596900226129,0.001410823455911989,0.6041781456281513,0.946,0.7352460105529718
12,1.003239135403826,0.14437555555555553,0.963203954564727,0.0013486763585943754,0.6266518710172162,0.961,0.7421314308405282
13,1.003239135403826,0.13828755555555555,0.9344121128432569,0.0014073784280193428,0.6061973011911936,0.947,0.7356559555905883
14,1.0016438641243506,0.14264622222222223,0.9568192437692534,0.0013604576681330528,0.6217360729409155,0.958,0.7407998743677556
15,1.0016438641243506,0.1431875555555555,0.9531892562120746,0.0013706060716858974,0.6204674866974358,0.956,0.7397508898612719
16,1.0029276544868138,0.13577555555555554,0.9298276069525295,0.0014140241052904904,0.6013963710844655,0.945,0.734853341690086
17,1.0023730235778567,0.1306968888888889,0.8960837859180212,0.0014896530413961622,0.5794836083685976,0.9279999999999999,0.7266836743140063
18,1.0026628193039933,0.13984888888888888,0.9444807002587334,0.0013856411696664612,0.6127820596030888,0.952,0.7380230700816586
19,1.0026628193039933,0.13722755555555555,0.920661917742399,0.001439054320422176,0.5982780415869662,0.94,0.7322541616689754
20,1.0026628193039933,0.12631555555555554,0.8725653284003776,0.0015442967408278781,0.5633703681261583,0.9159999999999999,0.7208268901201406
21,1.0026284793170404,0.1348822222222222,0.903058604837021,0.0014801413079868848,0.5871515952947262,0.9309999999999999,0.7278545493509788
22,1.0040514150956419,0.1353982222222222,0.923915287175424,0.0014274865679358023,0.5980696090939022,0.942,0.7334033610661526
23,1.0040514150956419,0.1343782222222222,0.9180236241862695,0.0014411230424503328,0.5941105958365821,0.939,0.7319412910936852
24,1.0040514150956419,0.13502088888888886,0.9258046117467333,0.0014227346713120792,0.5986345620979115,0.943,0.7339054508229108
25,1.0040514150956419,0.1353862222222222,0.9297520258525306,0.0014137586987197886,0.6009691144978474,0.945,0.7348720359053545
26,1.0040514150956419,0.13146488888888888,0.8853536817981756,0.0015208950226718993,0.5749021772993127,0.9219999999999999,0.7234776585951713
